~MMSI,Longitude,Latitude,Speed Over Ground (SOG),Course Over Ground (COG),Creation Time Local,Vessel Name,Call Sign,AIS Message Type,Time Stamp,Ship Type,Length,Beam,Destination
235057011,-0.1170,51.5084,11.4,53.2,13/03/2019 16:21:47,,,1,44,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:47,,,1,59,,,,
235078641,-0.1187,51.5069,4.4,33.7,13/03/2019 16:21:47,,,1,43,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:47,,,1,53,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:47,,,1,41,,,,
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:48,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:48,,,1,31,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:50,,,1,33,,,,
235057011,-0.1170,51.5084,11.4,53.2,13/03/2019 16:21:50,,,1,44,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:50,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:50,,,1,53,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:50,,,1,41,,,,
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:50,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:50,,,1,31,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:50,,,1,33,,,,
235057011,-0.1170,51.5084,11.4,53.2,13/03/2019 16:21:50,,,1,44,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:51,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:51,,,1,53,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:51,,,1,41,,,,
235081274,-0.1185,51.5093,0.0,360.0,13/03/2019 16:21:51,,,1,50,,,,
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:52,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:52,,,1,31,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:52,,,1,33,,,,
235057011,-0.1170,51.5084,11.4,53.2,13/03/2019 16:21:52,,,1,44,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:52,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:52,,,1,53,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:52,,,1,41,,,,
235081274,-0.1185,51.5093,0.0,360.0,13/03/2019 16:21:53,,,1,50,,,,
235052117,,,,,13/03/2019 16:21:53,MILLENNIUM DAWN,MZSL6,5,,60,31,10,LONDON
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:53,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:53,,,1,31,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:54,,,1,33,,,,
235052117,-0.1213,51.5051,5.5,191.1,13/03/2019 16:21:54,,,1,52,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:54,,,1,53,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:54,,,1,41,,,,
235057011,-0.1164,51.5087,9.8,57.2,13/03/2019 16:21:54,,,1,53,,,,
235053647,-0.1073,51.5092,5.9,81.6,13/03/2019 16:21:54,,,1,53,,,,
235054851,-0.1097,51.5106,1.1,332.6,13/03/2019 16:21:54,,,1,53,,,,
235081274,-0.1185,51.5093,0.0,360.0,13/03/2019 16:21:55,,,1,50,,,,
235052117,,,,,13/03/2019 16:21:55,MILLENNIUM DAWN,MZSL6,5,,60,31,10,LONDON
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:55,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:55,,,1,31,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:55,,,1,33,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:56,,,1,59,,,,
235052117,-0.1213,51.5051,5.5,191.1,13/03/2019 16:21:57,,,1,52,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:57,,,1,53,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:57,,,1,41,,,,
235057011,-0.1164,51.5087,9.8,57.2,13/03/2019 16:21:57,,,1,53,,,,
